Entity,Code,Year,Inbound arrivals (same-night) per 1000 people
Albania,ALB,2007,21.840744
Albania,ALB,2008,28.119484
Albania,ALB,2009,21.838882
Albania,ALB,2010,17.848549
Albania,ALB,2011,23.098192
Albania,ALB,2012,24.548862
Albania,ALB,2013,76.20317
Albania,ALB,2014,44.034534
Albania,ALB,2015,56.201565
Albania,ALB,2016,175.97665
Albania,ALB,2017,101.75869
Albania,ALB,2018,204.03062
Albania,ALB,2019,96.73324
Albania,ALB,2020,18.836004
Albania,ALB,2021,60.9519
American Samoa,ASM,2010,313.4625
American Samoa,ASM,2011,344.16754
American Samoa,ASM,2012,513.79425
American Samoa,ASM,2013,537.5634
American Samoa,ASM,2014,574.33856
American Samoa,ASM,2015,521.49207
American Samoa,ASM,2016,360.62454
American Samoa,ASM,2017,450.6325
American Samoa,ASM,2018,652.2861
American Samoa,ASM,2019,832.2596
Andorra,AND,1999,107727.445
Andorra,AND,2000,121634.7
Andorra,AND,2001,115490.63
Andorra,AND,2002,114579.22
Andorra,AND,2003,114474.695
Andorra,AND,2004,115360.625
Andorra,AND,2005,108096.94
Andorra,AND,2006,106055.51
Andorra,AND,2007,109404.375
Andorra,AND,2008,106923.61
Andorra,AND,2009,98566.58
Andorra,AND,2010,94252.33
Andorra,AND,2011,81332.26
Andorra,AND,2012,79721.266
Andorra,AND,2013,74917.7
Andorra,AND,2014,75833.29
Andorra,AND,2015,72276.56
Andorra,AND,2016,71744.555
Andorra,AND,2017,69719.58
Andorra,AND,2018,70448.06
Andorra,AND,2019,67377.33
Andorra,AND,2020,42908.793
Andorra,AND,2021,43930.33
Anguilla,AIA,1995,7064.935
Anguilla,AIA,1996,4956.504
Anguilla,AIA,1997,6993.696
Anguilla,AIA,1998,6706.2656
Anguilla,AIA,1999,5584.512
Anguilla,AIA,2000,6142.1733
Anguilla,AIA,2001,5014.5156
Anguilla,AIA,2002,5784.3394
Anguilla,AIA,2003,5271.6606
Anguilla,AIA,2004,5603.412
Anguilla,AIA,2005,6667.2153
Anguilla,AIA,2006,7613.1855
Anguilla,AIA,2007,6854.7744
Anguilla,AIA,2008,4704.4062
Anguilla,AIA,2009,4163.454
Anguilla,AIA,2010,4244.997
Anguilla,AIA,2011,4340.343
Anguilla,AIA,2012,4748.127
Anguilla,AIA,2013,5973.6284
Anguilla,AIA,2014,7494.874
Anguilla,AIA,2015,7764.1885
Anguilla,AIA,2016,6535.5073
Anguilla,AIA,2017,5478.7236
Anguilla,AIA,2018,2170.91
Anguilla,AIA,2019,4607.9956
Anguilla,AIA,2020,1005.6367
Anguilla,AIA,2021,19.012611
Antigua and Barbuda,ATG,1995,3317.889
Antigua and Barbuda,ATG,1996,3867.253
Antigua and Barbuda,ATG,1997,4014.9932
Antigua and Barbuda,ATG,1998,4628.8003
Antigua and Barbuda,ATG,1999,4442.458
