Entity,Code,Year,Employment (total) per 1000 people
Albania,ALB,2004,4.897753
Albania,ALB,2005,5.1440396
Albania,ALB,2006,5.5603814
Albania,ALB,2007,6.182611
Albania,ALB,2008,5.928807
Albania,ALB,2009,6.381048
Albania,ALB,2010,7.5513096
Albania,ALB,2011,7.825805
Albania,ALB,2012,7.399235
Albania,ALB,2013,8.763365
Albania,ALB,2014,9.257654
Albania,ALB,2015,10.060774
Albania,ALB,2016,13.606085
Albania,ALB,2017,15.142248
Albania,ALB,2018,16.232079
Albania,ALB,2019,18.093987
Albania,ALB,2020,14.789752
Algeria,DZA,2015,5.816431
Algeria,DZA,2016,6.69322
Algeria,DZA,2017,7.292785
Algeria,DZA,2018,7.3461003
Algeria,DZA,2019,7.4932027
Angola,AGO,2007,3.4505053
Angola,AGO,2008,4.735767
Angola,AGO,2009,5.982004
Angola,AGO,2010,5.9435816
Angola,AGO,2011,6.0003824
Angola,AGO,2012,6.270928
Angola,AGO,2013,6.634716
Angola,AGO,2014,7.4743237
Angola,AGO,2015,7.7965784
Angola,AGO,2016,7.580242
Angola,AGO,2017,7.3819957
Angola,AGO,2018,18.514055
Angola,AGO,2019,6.660775
Angola,AGO,2020,1.9205173
Angola,AGO,2021,1.4549133
Argentina,ARG,2010,24.19944
Argentina,ARG,2011,23.841099
Argentina,ARG,2012,23.89615
Argentina,ARG,2013,25.047026
Argentina,ARG,2014,23.675941
Argentina,ARG,2016,28.53801
Argentina,ARG,2017,28.915892
Argentina,ARG,2018,28.620913
Argentina,ARG,2019,28.150774
Australia,AUS,2005,34.295517
Australia,AUS,2006,32.603653
Australia,AUS,2007,33.954475
Australia,AUS,2008,33.546883
Australia,AUS,2009,34.666153
Australia,AUS,2010,23.393255
Australia,AUS,2011,23.536219
Australia,AUS,2012,24.09668
Australia,AUS,2013,23.940165
Australia,AUS,2014,23.153378
Australia,AUS,2015,24.164324
Australia,AUS,2016,24.512613
Australia,AUS,2017,24.997625
Australia,AUS,2018,26.085674
Australia,AUS,2019,26.588142
Australia,AUS,2020,24.78764
Australia,AUS,2021,19.555502
Austria,AUT,2003,25.41839
Austria,AUT,2004,25.259401
Austria,AUT,2005,25.246037
Austria,AUT,2007,25.87188
Austria,AUT,2008,29.467138
Austria,AUT,2009,29.162386
Austria,AUT,2010,30.240963
Austria,AUT,2011,30.269802
Austria,AUT,2012,31.080801
Austria,AUT,2013,31.900309
Austria,AUT,2018,22.543928
Austria,AUT,2019,23.164574
Austria,AUT,2020,15.458397
Azerbaijan,AZE,2005,0.54735065
Azerbaijan,AZE,2006,0.5839089
Azerbaijan,AZE,2007,0.6593524
Azerbaijan,AZE,2008,0.7544699
Azerbaijan,AZE,2009,0.8037607
Azerbaijan,AZE,2010,3.988112
Azerbaijan,AZE,2011,4.0216827
Azerbaijan,AZE,2012,4.095797
Azerbaijan,AZE,2013,4.242352
Azerbaijan,AZE,2014,4.2907534
Azerbaijan,AZE,2015,5.0133395
Azerbaijan,AZE,2016,4.3580484
Azerbaijan,AZE,2017,4.6504173
Azerbaijan,AZE,2018,5.2769146
Azerbaijan,AZE,2019,5.8146577
Azerbaijan,AZE,2020,4.7607417
Azerbaijan,AZE,2021,5.207024
Bahrain,BHR,2012,14.694501
Bahrain,BHR,2013,15.05925
Bahrain,BHR,2014,16.016571
Bahrain,BHR,2015,16.884985
Bahrain,BHR,2016,14.187737
Bahrain,BHR,2017,43.93058
Bahrain,BHR,2018,49.08071
Bahrain,BHR,2019,50.86351
Bahrain,BHR,2020,46.024372
Bahrain,BHR,2021,47.838192
Belarus,BLR,1998,2.6164687
Belarus,BLR,1999,2.7550666
Belarus,BLR,2000,3.2077253
Belarus,BLR,2001,3.303529
Belarus,BLR,2002,3.2559178
Belarus,BLR,2003,3.2287288
Belarus,BLR,2004,3.2600935
Belarus,BLR,2005,3.1202297
Belarus,BLR,2006,3.32162
Belarus,BLR,2007,3.4703882
Belarus,BLR,2008,2.8096118
Belarus,BLR,2009,2.9002707
Belarus,BLR,2010,3.000588
Belarus,BLR,2011,3.1008606
Belarus,BLR,2012,23.313982
Belarus,BLR,2013,23.25835
Belarus,BLR,2014,23.386225
Belarus,BLR,2015,22.905779
Belarus,BLR,2016,25.010015
Belarus,BLR,2017,24.928219
Belarus,BLR,2018,26.362547
Belarus,BLR,2019,26.648827
Belarus,BLR,2020,26.14767
Belarus,BLR,2021,25.860884
Belgium,BEL,2009,12.7715435
Belgium,BEL,2010,12.7798
Belize,BLZ,2006,48.139362
Belize,BLZ,2007,52.82958
Belize,BLZ,2010,40.979153
Belize,BLZ,2011,40.055107
Belize,BLZ,2012,45.984924
Belize,BLZ,2013,54.83108
Belize,BLZ,2014,54.492355
Belize,BLZ,2015,54.50645
Belize,BLZ,2016,56.81586
Belize,BLZ,2017,58.953514
Belize,BLZ,2018,60.257645
Belize,BLZ,2019,60.51097
Belize,BLZ,2020,43.491142
Belize,BLZ,2021,39.24637
Bosnia and Herzegovina,BIH,2011,7.3734827
Bosnia and Herzegovina,BIH,2012,7.2393246
Bosnia and Herzegovina,BIH,2013,6.0261545
Bosnia and Herzegovina,BIH,2014,6.7766805
Bosnia and Herzegovina,BIH,2015,6.980054
Bosnia and Herzegovina,BIH,2016,10.313173
Bosnia and Herzegovina,BIH,2017,11.453405
Bosnia and Herzegovina,BIH,2018,12.175998
Bosnia and Herzegovina,BIH,2019,12.82464
Bosnia and Herzegovina,BIH,2020,11.933426
Bosnia and Herzegovina,BIH,2021,11.886768
Brazil,BRA,2005,9.055268
Brazil,BRA,2006,9.193378
Brazil,BRA,2007,9.44022
Brazil,BRA,2008,9.721687
Brazil,BRA,2009,9.811968
Brazil,BRA,2010,10.162284
Brazil,BRA,2011,10.356975
Brazil,BRA,2012,10.299647
Brazil,BRA,2013,9.611753
Brazil,BRA,2014,10.051624
Brazil,BRA,2015,10.112179
Brazil,BRA,2016,10.294423
Brazil,BRA,2017,10.206189
Brazil,BRA,2018,10.386723
Brazil,BRA,2019,10.351167
Brunei,BRN,2013,6.072324
Brunei,BRN,2014,6.479948
Brunei,BRN,2015,6.643746
Brunei,BRN,2016,6.8074956
Brunei,BRN,2017,7.1254272
Brunei,BRN,2018,6.993136
Brunei,BRN,2019,7.348342
Brunei,BRN,2020,6.863828
Brunei,BRN,2021,6.98277
Cameroon,CMR,2008,1.171641
Cameroon,CMR,2009,1.1905208
Cameroon,CMR,2010,1.3633132
Cameroon,CMR,2011,1.3203657
Cameroon,CMR,2012,1.3502795
Cayman Islands,CYM,2007,140.94148
Cayman Islands,CYM,2008,175.98749
Cayman Islands,CYM,2009,152.03345
Cayman Islands,CYM,2010,147.88797
Cayman Islands,CYM,2011,144.11038
Cayman Islands,CYM,2012,193.37599
Chile,CHL,2005,12.723091
Chile,CHL,2006,13.4071455
Chile,CHL,2007,13.755231
Chile,CHL,2008,14.938664
Chile,CHL,2009,16.188007
Chile,CHL,2010,15.702034
Chile,CHL,2011,16.700083
Chile,CHL,2012,22.050806
Chile,CHL,2013,22.301636
Chile,CHL,2014,22.355267
Chile,CHL,2015,22.848194
Chile,CHL,2016,23.971626
Chile,CHL,2017,24.525574
Chile,CHL,2018,34.02944
Chile,CHL,2019,33.918987
Chile,CHL,2020,23.65246
Chile,CHL,2021,25.85519
Comoros,COM,2019,2.5284674
Comoros,COM,2020,1.2404362
Comoros,COM,2021,2.0690527
Congo,COG,2013,4.5865088
Congo,COG,2014,5.116419
Congo,COG,2015,5.2721057
Congo,COG,2016,5.128373
Congo,COG,2017,1.9953516
Congo,COG,2018,1.3784076
Costa Rica,CRI,2013,31.40952
Costa Rica,CRI,2014,30.530771
Costa Rica,CRI,2015,31.990253
Costa Rica,CRI,2016,30.817732
Costa Rica,CRI,2017,31.098257
Costa Rica,CRI,2018,31.939768
Costa Rica,CRI,2019,33.61178
Costa Rica,CRI,2020,24.887241
Costa Rica,CRI,2021,29.197748
Cote d'Ivoire,CIV,2016,4.666465
Cote d'Ivoire,CIV,2017,4.873627
Cote d'Ivoire,CIV,2018,4.750139
Cote d'Ivoire,CIV,2019,4.925893
Cote d'Ivoire,CIV,2020,4.949315
Cote d'Ivoire,CIV,2021,5.0003185
Croatia,HRV,2006,11.205276
Croatia,HRV,2007,11.984904
Croatia,HRV,2008,12.631821
Croatia,HRV,2009,11.797883
Croatia,HRV,2010,11.765568
Croatia,HRV,2011,12.109826
Croatia,HRV,2012,12.674324
Croatia,HRV,2013,12.973287
Croatia,HRV,2014,14.589278
Croatia,HRV,2015,14.4071865
Croatia,HRV,2016,17.377932
Croatia,HRV,2017,18.962578
Croatia,HRV,2018,20.814865
Croatia,HRV,2019,22.180525
Croatia,HRV,2020,19.16096
Croatia,HRV,2021,19.753017
Cyprus,CYP,2003,45.18396
Cyprus,CYP,2004,45.627316
Cyprus,CYP,2005,46.62173
Cyprus,CYP,2006,46.47329
Cyprus,CYP,2007,46.830402
Cyprus,CYP,2008,36.03527
Cyprus,CYP,2009,34.29678
Cyprus,CYP,2010,34.91214
Cyprus,CYP,2011,33.86808
Cyprus,CYP,2012,32.59678
Cyprus,CYP,2013,30.077843
Cyprus,CYP,2014,32.200592
Cyprus,CYP,2015,33.18493
Cyprus,CYP,2016,35.813
Cyprus,CYP,2017,38.228355
Czechia,CZE,2003,22.785627
Czechia,CZE,2004,22.69476
Czechia,CZE,2005,22.733582
Czechia,CZE,2006,22.462688
Czechia,CZE,2007,22.831127
Czechia,CZE,2008,23.243582
Czechia,CZE,2009,22.981203
Czechia,CZE,2010,22.510693
Czechia,CZE,2011,22.160023
Czechia,CZE,2012,21.843647
Czechia,CZE,2013,21.752907
Czechia,CZE,2014,21.393864
Czechia,CZE,2015,21.774736
Czechia,CZE,2016,22.16083
Czechia,CZE,2017,22.67523
Czechia,CZE,2018,22.837795
Czechia,CZE,2019,22.739187
Czechia,CZE,2020,22.674116
Denmark,DNK,2006,29.837318
Denmark,DNK,2007,30.749004
Denmark,DNK,2008,27.786097
Denmark,DNK,2009,26.364098
Denmark,DNK,2010,26.608538
Denmark,DNK,2011,27.080267
Denmark,DNK,2012,28.298746
Denmark,DNK,2013,28.246916
Denmark,DNK,2014,30.426744
Denmark,DNK,2015,31.696812
Denmark,DNK,2016,32.942657
Denmark,DNK,2017,33.665394
Denmark,DNK,2018,34.22449
Denmark,DNK,2019,34.71432
Denmark,DNK,2020,28.76938
Denmark,DNK,2021,34.299892
Djibouti,DJI,2021,1.4933581
Dominican Republic,DOM,2005,18.77843
Dominican Republic,DOM,2006,20.281837
Dominican Republic,DOM,2007,20.239925
Dominican Republic,DOM,2008,20.529345
Dominican Republic,DOM,2009,20.335691
Dominican Republic,DOM,2010,19.988224
Dominican Republic,DOM,2011,19.66933
Dominican Republic,DOM,2012,20.05805
Dominican Republic,DOM,2013,21.315235
Dominican Republic,DOM,2014,21.386648
Dominican Republic,DOM,2015,24.428608
Dominican Republic,DOM,2016,29.93088
Dominican Republic,DOM,2017,15.036751
Dominican Republic,DOM,2018,15.651804
Dominican Republic,DOM,2019,16.026634
Dominican Republic,DOM,2020,9.936664
Dominican Republic,DOM,2021,17.053621
Ecuador,ECU,1995,4.2653823
Ecuador,ECU,1996,4.1372466
Ecuador,ECU,1997,4.292683
Ecuador,ECU,1998,4.4810147
Ecuador,ECU,1999,4.4676723
Ecuador,ECU,2000,4.4776425
Ecuador,ECU,2001,4.6876254
Ecuador,ECU,2002,4.78692
Ecuador,ECU,2003,5.046617
Ecuador,ECU,2004,5.0503163
Ecuador,ECU,2005,5.23645
Ecuador,ECU,2006,5.6057277
Ecuador,ECU,2007,5.4050574
Ecuador,ECU,2008,5.8404613
Ecuador,ECU,2009,6.1145234
Ecuador,ECU,2010,6.190967
Ecuador,ECU,2011,6.7201595
Ecuador,ECU,2012,6.8652024
Ecuador,ECU,2013,7.2568903
Ecuador,ECU,2014,7.651337
Ecuador,ECU,2015,8.335441
Ecuador,ECU,2016,8.284879
Ecuador,ECU,2017,7.911626
Ecuador,ECU,2018,7.9044776
Ecuador,ECU,2019,7.7549586
Ecuador,ECU,2020,5.1503825
Ecuador,ECU,2021,6.717877
Egypt,EGY,2010,18.84303
Egypt,EGY,2011,18.5538
Egypt,EGY,2012,18.705532
Egypt,EGY,2013,18.192741
Egypt,EGY,2014,18.327831
Egypt,EGY,2015,20.394215
El Salvador,SLV,2007,6.965436
El Salvador,SLV,2008,6.9708714
El Salvador,SLV,2009,6.6982083
El Salvador,SLV,2010,6.6895223
El Salvador,SLV,2011,6.9573956
El Salvador,SLV,2012,7.2387404
El Salvador,SLV,2013,7.371912
El Salvador,SLV,2014,7.794473
El Salvador,SLV,2015,7.8156695
El Salvador,SLV,2016,7.9993434
El Salvador,SLV,2017,8.345752
El Salvador,SLV,2018,8.763069
El Salvador,SLV,2019,9.092035
El Salvador,SLV,2020,8.295281
El Salvador,SLV,2021,8.85311
Estonia,EST,2005,12.918323
Estonia,EST,2006,14.776741
Estonia,EST,2007,16.261667
Estonia,EST,2008,16.529383
Estonia,EST,2009,14.911315
Estonia,EST,2010,14.794954
Estonia,EST,2011,15.217318
Estonia,EST,2012,15.876832
Estonia,EST,2013,16.616274
Estonia,EST,2014,17.95317
Estonia,EST,2015,19.168484
Estonia,EST,2016,20.061888
Estonia,EST,2017,21.403362
Estonia,EST,2018,20.270077
Estonia,EST,2019,21.40103
Estonia,EST,2020,18.052591
Eswatini,SWZ,2007,11.006306
Eswatini,SWZ,2010,13.058151
Finland,FIN,2007,24.67528
Finland,FIN,2011,24.20115
Finland,FIN,2012,25.213041
Finland,FIN,2013,25.133883
Finland,FIN,2014,25.487803
Finland,FIN,2015,25.075478
Finland,FIN,2016,25.385714
