Entity,Code,Year,Outbound Tourism Expenditure (adjusted for US 2021 inflation)
Argentina,ARG,1995,5828976000
Argentina,ARG,1996,6191619600
Argentina,ARG,1997,6688291000
Argentina,ARG,1998,7031554600
Argentina,ARG,1999,6824061400
Argentina,ARG,2000,6963072500
Argentina,ARG,2001,5957559300
Argentina,ARG,2002,3506977300
Argentina,ARG,2003,3698691300
Argentina,ARG,2004,3735666700
Argentina,ARG,2005,3871162000
Argentina,ARG,2006,4177622500
Argentina,ARG,2007,5142536000
Argentina,ARG,2008,5771727000
Argentina,ARG,2009,5729169000
Argentina,ARG,2010,6152430000
Argentina,ARG,2011,6826670000
Argentina,ARG,2012,7219364000
Argentina,ARG,2013,6899951600
Argentina,ARG,2014,6848180700
Argentina,ARG,2015,7982173000
Argentina,ARG,2016,10927657000
Argentina,ARG,2017,12577916000
Argentina,ARG,2018,11514013000
Argentina,ARG,2019,8320167400
Argentina,ARG,2020,3028908800
Argentina,ARG,2021,1366000000
Australia,AUS,1995,9184461000
Australia,AUS,1996,10227229000
Australia,AUS,1997,10569256000
Australia,AUS,1998,9857475000
Australia,AUS,1999,10054714000
Australia,AUS,2000,10052002000
Australia,AUS,2001,8776420000
Australia,AUS,2002,8982864000
Australia,AUS,2003,10807367000
Australia,AUS,2004,15302747000
Australia,AUS,2005,16301893000
Australia,AUS,2006,16851627000
Australia,AUS,2007,21503250000
Australia,AUS,2008,24689046000
Australia,AUS,2009,23666926000
Australia,AUS,2010,28032016000
Australia,AUS,2011,32972083000
Australia,AUS,2012,33138022000
Australia,AUS,2013,39675884000
Australia,AUS,2014,38097080000
Australia,AUS,2015,33371476000
Australia,AUS,2016,34817446000
Australia,AUS,2017,38105182000
Australia,AUS,2018,39876040000
Australia,AUS,2019,38122267000
Australia,AUS,2020,6958219300
Australia,AUS,2021,972000000
Austria,AUT,1995,19359386000
Austria,AUT,1996,19029211000
Austria,AUT,1997,16985761000
Austria,AUT,1998,15926554000
Austria,AUT,1999,10942899000
Austria,AUT,2000,9806523000
Austria,AUT,2001,10068015000
Austria,AUT,2002,10395899000
Austria,AUT,2003,12701638000
Austria,AUT,2004,13251288000
Austria,AUT,2005,12926073000
Austria,AUT,2006,12941490000
Austria,AUT,2007,13799248000
Austria,AUT,2008,14395337000
Austria,AUT,2009,13673719000
Austria,AUT,2010,12575760000
Austria,AUT,2011,12716134000
Austria,AUT,2012,11786789000
Austria,AUT,2013,11926028000
Austria,AUT,2014,12699408000
Austria,AUT,2015,10665382000
Austria,AUT,2016,11032656000
Austria,AUT,2017,11903586000
Austria,AUT,2018,12725843000
Austria,AUT,2019,12283110000
Austria,AUT,2020,4694651400
Austria,AUT,2021,7351000000
Belgium,BEL,1995,14430183000
Belgium,BEL,1996,14841574000
Belgium,BEL,1997,13327626000
Belgium,BEL,1998,13815426000
Belgium,BEL,1999,15901120000
Belgium,BEL,2000,14837246000
Belgium,BEL,2001,14960468000
Belgium,BEL,2002,15343026000
Belgium,BEL,2003,17985274000
Belgium,BEL,2004,20021107000
Belgium,BEL,2005,20740547000
