Entity,Code,Year,Inbound Tourism Expenditure (adjusted for inflation and cost of living)
Australia,AUS,1995,12904206000
Australia,AUS,1996,13947016000
Australia,AUS,1997,14575643000
Australia,AUS,1998,14679026000
Australia,AUS,1999,16038053000
Australia,AUS,2000,17301918000
Australia,AUS,2001,18272740000
Australia,AUS,2002,18396922000
Australia,AUS,2003,18849460000
Australia,AUS,2004,19577907000
Australia,AUS,2005,20216023000
Australia,AUS,2006,20729143000
Australia,AUS,2007,22633507000
Australia,AUS,2008,23835507000
Australia,AUS,2009,25798080000
Australia,AUS,2010,24701082000
Australia,AUS,2011,23586445000
Australia,AUS,2012,23072043000
Australia,AUS,2013,25171515000
Australia,AUS,2014,28656742000
Australia,AUS,2015,32398543000
Australia,AUS,2016,34923840000
Australia,AUS,2017,37483110000
Australia,AUS,2018,40742605000
Australia,AUS,2019,43698405000
Australia,AUS,2020,24566798000
Australia,AUS,2021,14545121000
Austria,AUT,1995,19367594000
Austria,AUT,1996,19067180000
Austria,AUT,1997,18633040000
Austria,AUT,1998,19106234000
Austria,AUT,1999,19120070000
Austria,AUT,2000,19673491000
Austria,AUT,2001,19862245000
Austria,AUT,2002,20066791000
Austria,AUT,2003,20386255000
Austria,AUT,2004,20679848000
Austria,AUT,2005,21670205000
Austria,AUT,2006,21517009000
Austria,AUT,2007,21684584000
Austria,AUT,2008,22818394000
Austria,AUT,2009,21215146000
Austria,AUT,2010,21445870000
Austria,AUT,2011,20872219000
Austria,AUT,2012,21105938000
Austria,AUT,2013,21381000000
Austria,AUT,2014,21756946000
Austria,AUT,2015,22583738000
Austria,AUT,2016,23604658000
Austria,AUT,2017,23939328000
Austria,AUT,2018,25653414000
Austria,AUT,2019,26367382000
Austria,AUT,2020,15201416000
Austria,AUT,2021,10256795000
Belgium,BEL,1995,6470216700
Belgium,BEL,1996,7090368000
Belgium,BEL,1997,7536974000
Belgium,BEL,1998,7732849700
Belgium,BEL,1999,11163276000
Belgium,BEL,2000,12794822000
Belgium,BEL,2001,13452870000
Belgium,BEL,2002,12623430000
Belgium,BEL,2003,12271526000
Belgium,BEL,2004,12284143000
Belgium,BEL,2005,12776582000
Belgium,BEL,2006,13025388000
Belgium,BEL,2007,12520069000
Belgium,BEL,2008,12183900000
Belgium,BEL,2009,12256578000
Belgium,BEL,2010,12543970000
Belgium,BEL,2011,12913907000
Belgium,BEL,2012,13335851000
Belgium,BEL,2013,13663243000
Belgium,BEL,2014,14156158000
Belgium,BEL,2015,9525006000
Belgium,BEL,2016,9104336000
Belgium,BEL,2017,9589385000
Belgium,BEL,2018,9506650000
Belgium,BEL,2019,9829899000
Belgium,BEL,2020,6934598700
Belgium,BEL,2021,6421967000
Brazil,BRA,1995,1799988400
Brazil,BRA,1996,1258062600
Brazil,BRA,1997,1717087600
Brazil,BRA,1998,2414686000
Brazil,BRA,1999,4443874300
Brazil,BRA,2000,4660685000
Brazil,BRA,2001,5358196700
Brazil,BRA,2002,7088001500
Brazil,BRA,2003,8078722000
Brazil,BRA,2004,9362567000
Brazil,BRA,2005,8736990000
Brazil,BRA,2006,8376811000
Brazil,BRA,2007,8302084600
Brazil,BRA,2008,8641723000
Brazil,BRA,2009,8237930500
Brazil,BRA,2010,6843334000
Brazil,BRA,2011,7069636600
Brazil,BRA,2012,8194432500
Brazil,BRA,2013,8645977000
Brazil,BRA,2014,9379558000
Brazil,BRA,2015,10387897000
Brazil,BRA,2016,10333918000
Brazil,BRA,2017,8805562000
Brazil,BRA,2018,9912592000
Brazil,BRA,2019,10444931000
Brazil,BRA,2020,6715630000
Brazil,BRA,2021,6281837000
Bulgaria,BGR,1995,2946664700
Bulgaria,BGR,1996,2888578000
Bulgaria,BGR,1997,2242207200
Bulgaria,BGR,1998,5177066500
Bulgaria,BGR,1999,5079857700
Bulgaria,BGR,2000,6135406600
Bulgaria,BGR,2001,5442098000
Bulgaria,BGR,2002,5391394000
Bulgaria,BGR,2003,6499560400
Bulgaria,BGR,2004,7561305600
Bulgaria,BGR,2005,7880208000
Bulgaria,BGR,2006,7880765000
Bulgaria,BGR,2007,9471257000
Bulgaria,BGR,2008,9147673000
Bulgaria,BGR,2009,8213018000
Bulgaria,BGR,2010,7454845000
Bulgaria,BGR,2011,7667119000
Bulgaria,BGR,2012,7412526000
Bulgaria,BGR,2013,7867141000
Bulgaria,BGR,2014,8187987000
Bulgaria,BGR,2015,7841658400
Bulgaria,BGR,2016,9177783000
Bulgaria,BGR,2017,9947905000
Bulgaria,BGR,2018,10070052000
Bulgaria,BGR,2019,9880238000
Bulgaria,BGR,2020,3643277800
Bulgaria,BGR,2021,5147476000
Canada,CAN,1995,13242268000
Canada,CAN,1996,14081631000
Canada,CAN,1997,14417755000
Canada,CAN,1998,16327283000
Canada,CAN,1999,17419730000
Canada,CAN,2000,17910522000
Canada,CAN,2001,17953610000
Canada,CAN,2002,17908095000
Canada,CAN,2003,15424521000
Canada,CAN,2004,17285090000
Canada,CAN,2005,16499155000
Canada,CAN,2006,16145780000
Canada,CAN,2007,16046102000
Canada,CAN,2008,15634884000
Canada,CAN,2009,14627872000
Canada,CAN,2010,14939190000
Canada,CAN,2011,14829298000
Canada,CAN,2012,17664040000
Canada,CAN,2013,18692004000
Canada,CAN,2014,20324385000
Canada,CAN,2015,21900714000
Canada,CAN,2016,24984250000
Canada,CAN,2017,26633904000
Canada,CAN,2018,28266662000
Canada,CAN,2019,31014547000
Canada,CAN,2020,14142006000
Canada,CAN,2021,12369013000
Chile,CHL,1995,1803668500
Chile,CHL,1996,1783958700
Chile,CHL,1997,2025341000
Chile,CHL,1998,2119089400
Chile,CHL,1999,1868736500
Chile,CHL,2000,1715813000
Chile,CHL,2001,1901832600
Chile,CHL,2002,2262927000
Chile,CHL,2003,2172038000
Chile,CHL,2004,2349799700
Chile,CHL,2005,1914278500
Chile,CHL,2006,2013248900
Chile,CHL,2007,2402511600
Chile,CHL,2008,2424326100
Chile,CHL,2009,2624261600
